time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4185,0,0,52,21,83,899,1147,622
4190,0,0,55,16,88,883,1099,665
4195,0,0,52,12,90,910,1124,638
4200,0,0,48,12,83,857,1085,685
4205,0,0,36,22,90,947,1139,640
4210,0,0,46,19,91,898,1091,685
4215,0,0,56,9,78,936,1129,639
4220,0,0,45,26,84,908,1126,650
4225,0,0,54,14,76,949,1145,645
4230,0,0,53,24,84,883,1099,691
4235,0,0,58,18,78,948,1154,635
4240,0,0,49,19,69,878,1082,703
4245,0,0,61,22,64,956,1166,607
4250,0,0,62,16,69,881,1087,690
4255,0,0,51,19,65,926,1153,624
4260,0,0,52,22,74,893,1108,685
4265,0,0,46,24,82,955,1155,648
4270,0,0,49,25,71,901,1139,658
4275,0,0,51,15,89,890,1106,681
4280,0,0,47,22,91,917,1123,648
4285,0,0,44,20,93,940,1121,662
4290,0,0,42,16,86,934,1134,645
4295,0,0,46,17,80,893,1099,673
4300,0,0,47,27,86,929,1139,626
4305,0,0,52,25,83,871,1092,663
4310,0,0,54,24,76,911,1120,631
4315,0,0,48,19,78,900,1096,657
4320,0,0,40,23,83,879,1106,648
4325,0,0,48,17,77,893,1108,641
4330,0,0,45,12,85,935,1136,625
4335,0,0,46,21,71,868,1120,653
4340,0,0,50,17,74,898,1150,628
4345,0,0,46,19,76,847,1086,672
4350,0,0,40,12,79,891,1134,617
4355,0,0,37,14,82,854,1092,661
4360,0,0,43,23,83,900,1116,627
4365,0,0,62,11,80,896,1092,655
4370,0,0,41,25,84,927,1170,606
4375,0,0,53,18,86,859,1137,631
4380,0,0,41,16,96,927,1155,618
4385,0,0,44,11,88,872,1112,677
4390,0,0,38,16,104,932,1159,638
4395,0,0,46,15,96,908,1152,648
4400,0,0,47,24,94,893,1111,690
4405,0,0,59,27,100,990,1164,639
4410,0,0,66,19,87,930,1113,689
4415,0,0,44,20,85,953,1146,651
4420,0,0,43,20,81,924,1127,664
4425,0,0,53,17,82,948,1129,668
4430,0,0,50,10,78,927,1099,694
4435,0,0,40,21,85,956,1173,629
4440,0,0,46,22,91,919,1130,684
4445,0,0,59,15,89,931,1139,666
4450,0,0,50,21,90,921,1151,657
4455,0,0,54,23,82,918,1134,668
4460,0,0,58,18,81,918,1144,651
4465,0,0,47,18,86,917,1143,654
4470,0,0,44,21,79,906,1149,649
4475,0,0,51,16,87,887,1145,638
4480,0,0,42,18,79,849,1115,656
4485,0,0,41,17,94,891,1134,636
4490,0,0,54,22,80,883,1129,642
4495,0,0,57,25,81,913,1148,636
4500,0,0,53,17,86,906,1140,643
4505,0,0,44,24,80,899,1141,633
4510,0,0,60,20,71,885,1113,662
4515,0,0,56,14,91,928,1159,627
4520,0,0,54,21,86,869,1134,666
4525,0,0,51,14,107,902,1145,658
4530,0,0,48,20,96,898,1179,615
4535,0,0,42,29,84,848,1133,661
4540,0,0,56,12,88,887,1160,628
4545,0,0,55,20,80,864,1137,662
4550,0,0,61,18,82,909,1196,620
4555,0,0,50,19,87,866,1158,658
4560,0,0,52,19,88,880,1170,637
4565,0,0,50,19,82,895,1214,600
4570,0,0,51,20,87,816,1136,685
4575,0,0,52,13,100,894,1204,611
4580,0,0,41,16,102,849,1145,671
4585,0,0,58,14,84,901,1201,607
4590,0,0,49,19,90,862,1178,640
4595,0,0,53,10,71,882,1195,625
4600,0,0,44,23,88,828,1145,664
4605,0,0,54,11,82,888,1159,637
4610,0,0,40,24,77,868,1138,662
4615,0,0,52,16,64,926,1180,630
4620,0,0,35,20,76,881,1127,685
4625,0,0,43,17,68,904,1171,628
4630,0,0,50,20,75,884,1178,634
4635,0,0,43,24,74,868,1163,650
4640,0,0,51,15,73,896,1142,657
4645,0,0,37,25,66,882,1116,672
4650,0,0,48,20,79,929,1143,640
4655,0,0,43,26,68,926,1148,647
4660,0,0,47,24,69,921,1154,648
4665,0,0,52,21,80,897,1145,658
4670,0,0,52,14,86,944,1142,670
4675,0,0,45,11,88,941,1162,642
4680,0,0,43,15,82,895,1138,682
4685,0,0,58,13,78,912,1161,657
4690,0,0,50,19,78,904,1171,642
4695,0,0,51,19,80,885,1142,677
4700,0,0,49,19,76,943,1175,645
4705,0,0,47,19,87,877,1157,657
4710,0,0,50,17,80,904,1168,665
4715,0,0,52,28,80,918,1178,646
4720,0,0,65,20,69,894,1178,644
4725,0,0,49,21,80,894,1147,674
4730,0,0,45,21,95,952,1193,628
4735,0,0,46,26,93,890,1159,663
4740,0,0,52,22,92,899,1165,647
4745,0,0,62,18,75,911,1166,650
4750,0,0,49,15,76,883,1160,646
4755,0,0,43,21,78,888,1159,657
4760,0,0,44,23,89,897,1163,658
4765,0,0,54,15,85,891,1140,671
4770,0,0,49,20,84,903,1148,663
4775,0,0,48,21,81,894,1172,636
4780,0,0,46,15,88,892,1178,627
4785,0,0,53,15,90,867,1131,675
4790,0,0,47,20,81,883,1138,671
4795,0,0,58,14,85,919,1144,670
4800,0,0,36,19,87,938,1168,637
4805,0,0,52,9,76,880,1135,664
4810,0,0,42,23,82,902,1145,653
4815,0,0,51,13,75,891,1128,648
4820,0,0,50,27,97,873,1164,614
4825,0,0,61,22,84,859,1115,664
4830,0,0,57,9,71,917,1151,620
4835,0,0,44,20,82,870,1109,655
4840,0,0,50,17,86,902,1140,632
4845,0,0,47,25,91,912,1141,646
4850,0,0,52,31,79,899,1169,635
