time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4935,0,0,65,22,76,879,1341,613
4940,0,0,56,34,66,824,1282,687
4945,0,0,45,23,55,876,1336,639
4950,0,0,58,23,80,808,1270,698
4955,0,0,48,30,78,867,1355,608
4960,0,0,54,22,67,840,1309,670
4965,0,0,62,17,72,845,1314,660
4970,0,0,46,31,73,859,1312,663
4975,0,0,77,16,70,841,1294,675
4980,0,0,53,32,59,846,1302,662
4985,0,0,57,37,68,855,1319,644
4990,0,0,67,31,69,819,1288,665
4995,0,0,65,29,63,867,1317,641
5000,0,0,65,21,66,827,1264,678
